depth,discount,model_reward,true_reward,reward_bias,uncertainty,transition_error,model_pocket_score,true_pocket_score,planner,seed,budget
1,1.0,-1.8682906821223328,-1.868290685747438,3.6251051049873695e-09,0.025000002226822058,9.450623333877712e-10,2.33047222361914e-09,2.33047222361914e-09,best_of_n,0,1024
2,0.98,-1.8400328556870165,-1.8400328572074105,1.520394032894501e-09,0.025000000354669615,1.0937693395765054e-09,3.736089069190639e-10,3.7360889864941876e-10,best_of_n,0,1024
3,0.9603999999999999,-1.7155478394753423,-1.7155478426492854,3.17394310833663e-09,0.02500000126583375,1.6014096760406762e-09,1.373040000994428e-09,1.3730399696559091e-09,best_of_n,0,1024
4,0.9411919999999999,-1.6160850524620645,-1.616085200556798,1.4809473358745606e-07,0.02500008789760897,3.578598693319213e-08,9.765980668253838e-08,9.765980358935068e-08,best_of_n,0,1024
5,0.9223681599999999,-1.4900457129285056,-1.4900460600049037,3.4707639806619284e-07,0.025000184477545373,1.0389882541307627e-07,2.1148160893060902e-07,2.1148147784101718e-07,best_of_n,0,1024
6,0.9039207967999998,-1.4845845250335556,-1.484584648249399,1.232158433062125e-07,0.025000011972369483,1.0827534342045005e-07,1.3743831095569058e-08,1.374380579104439e-08,best_of_n,0,1024
7,0.8858423808639998,-1.3246224380043816,-1.3246229125031568,4.744987751603702e-07,0.025000213720463998,1.8101322191342843e-07,2.5567187249637605e-07,2.5567146985455523e-07,best_of_n,0,1024
8,0.8681255332467198,-1.439850775418644,-1.439851320944076,5.455254319386427e-07,0.025000214844074383,2.58658542117791e-07,2.494511186652876e-07,2.494503038849996e-07,best_of_n,0,1024
9,0.8507630225817854,-1.3389914059170247,-1.3390067083143462,1.5302397321503847e-05,0.025008772284130915,3.2798278707631873e-06,1.0454638067798064e-05,1.0454595302585406e-05,best_of_n,0,1024
10,0.8337477621301497,-1.3139883831976116,-1.3140067083143463,1.8325116734718705e-05,0.0250087726571521,6.302141445303356e-06,1.045509091190416e-05,1.0454595302585406e-05,best_of_n,0,1024
11,0.8170728068875467,-1.372123744190131,-1.3722401278676908,0.00011638367755972823,0.025064450051629165,2.883474178574423e-05,7.614738773860824e-05,7.614024915781848e-05,best_of_n,0,1024
12,0.8007313507497957,-1.3389629444157913,-1.3390067083143462,4.3763898554871616e-05,0.02500877541595812,3.18466379509556e-05,1.0458448552354267e-05,1.0454595302585406e-05,best_of_n,0,1024
13,0.7847167237347998,-1.3247462908902508,-1.3247786884024142,3.239751216344011e-05,0.025000707353309854,3.208358849210168e-05,8.461726899298263e-07,8.458447931043537e-07,best_of_n,0,1024
14,0.7690223892601038,-1.164807927038669,-1.1648523666608273,4.443962215816555e-05,0.025007426495975742,3.4366334204465476e-05,9.27431067475539e-06,9.271637870407867e-06,best_of_n,0,1024
15,0.7536419414749017,-1.3247437232871475,-1.3247786884024142,3.4965115266683e-05,0.0250007073820077,3.460399344259928e-05,8.462075915621924e-07,8.458447931043537e-07,best_of_n,0,1024
16,0.7385691026454037,-1.3389571303999894,-1.3390067083143462,4.957791435677983e-05,0.02500877618155591,3.762140573556307e-05,1.0459376925263797e-05,1.0454595302585406e-05,best_of_n,0,1024
17,0.7237977205924956,-1.4973652892981528,-1.4974036273433626,3.833804520980699e-05,0.025000491444091708,3.7803020429819746e-05,5.623441608238004e-07,5.619943732651816e-07,best_of_n,0,1024
18,0.7093217661806457,-1.4061596704021568,-1.4062268097475572,6.713934540036881e-05,0.025017234695543067,4.3935643517001004e-05,2.0184450560001565e-05,2.0173200621521174e-05,best_of_n,0,1024
1,1.0,-1.8931809331955833,-1.8931809334869223,2.9133895296240553e-10,0.025000000179357378,7.670743053600662e-11,1.8663626426666393e-10,1.8663626426666393e-10,uct_mcts,0,1024
2,0.98,-1.8036792694216355,-1.8036792899587477,2.053711223304333e-08,0.025000012495715106,5.271070462853564e-09,1.327482181650512e-08,1.327482179233308e-08,uct_mcts,0,1024
3,0.9603999999999999,-1.9413767823194916,-1.9413767902720538,7.952562164348365e-09,0.02500000166109067,5.9912119004172955e-09,1.7096394499630655e-09,1.7096392201257124e-09,uct_mcts,0,1024
4,0.9411919999999999,-2.0823040550085516,-2.082304061189507,6.18095530313667e-09,0.02500000013007724,6.0497563033761266e-09,1.297390878783332e-10,1.2973906592402054e-10,uct_mcts,0,1024
5,0.9223681599999999,-2.1179644033542826,-2.117964404879321,1.5250383178511129e-09,0.02500000006334852,3.1838520698224083e-09,6.269317563428778e-11,6.26931706646272e-11,uct_mcts,0,1024
6,0.9039207967999998,-2.1179644033484597,-2.117964404879321,1.530861215570667e-09,0.02500000006334852,3.196816608568624e-09,6.269317565460796e-11,6.26931706646272e-11,uct_mcts,0,1024
7,0.8858423808639998,-2.117964403342637,-2.117964404879321,1.536684113290221e-09,0.02500000006334852,3.2097811507375308e-09,6.26931756749286e-11,6.26931706646272e-11,uct_mcts,0,1024
8,0.8681255332467198,-2.117964403336814,-2.117964404879321,1.542507011009775e-09,0.02500000006334852,3.2227456962878224e-09,6.269317569524856e-11,6.26931706646272e-11,uct_mcts,0,1024
9,0.8507630225817854,-2.117964403330991,-2.117964404879321,1.548329908729329e-09,0.02500000006334852,3.235710245178854e-09,6.269317571556919e-11,6.26931706646272e-11,uct_mcts,0,1024
10,0.8337477621301497,-2.1179644033251686,-2.117964404879321,1.5541523623596731e-09,0.02500000006334852,3.24867479737063e-09,6.269317573588916e-11,6.26931706646272e-11,uct_mcts,0,1024
11,0.8170728068875467,-2.1179644033193457,-2.117964404879321,1.5599752600792272e-09,0.02500000006334852,3.261639352823789e-09,6.269317575621001e-11,6.26931706646272e-11,uct_mcts,0,1024
12,0.8007313507497957,-2.1179644033135223,-2.117964404879321,1.565798601887991e-09,0.02500000006334852,3.2746039114995967e-09,6.269317577652997e-11,6.26931706646272e-11,uct_mcts,0,1024
13,0.7847167237347998,-2.1179644033076994,-2.117964404879321,1.571621499607545e-09,0.02500000006334852,3.2875684733599254e-09,6.269317579685083e-11,6.26931706646272e-11,uct_mcts,0,1024
14,0.7690223892601038,-2.1179644033018765,-2.117964404879321,1.577444397327099e-09,0.02500000006334852,3.3005330383672496e-09,6.269317581717079e-11,6.26931706646272e-11,uct_mcts,0,1024
