depth,discount,model_reward,true_reward,reward_bias,uncertainty,transition_error,model_pocket_score,true_pocket_score,planner,seed,budget
15,0.7536419414749017,-2.1179644032960536,-2.117964404879321,1.583267295046653e-09,0.02500000006334852,3.3134976064846297e-09,6.269317583749142e-11,6.26931706646272e-11,uct_mcts,0,1024
16,0.7385691026454037,-2.117964403290231,-2.117964404879321,1.5890897486769973e-09,0.02500000006334852,3.326462177675702e-09,6.269317585781138e-11,6.26931706646272e-11,uct_mcts,0,1024
17,0.7237977205924956,-2.1179644032844083,-2.117964404879321,1.5949126463965513e-09,0.02500000006334852,3.3394267519046687e-09,6.269317587813201e-11,6.26931706646272e-11,uct_mcts,0,1024
18,0.7093217661806457,-2.1179644032785854,-2.117964404879321,1.6007355441161053e-09,0.02500000006334852,3.352391329136284e-09,6.26931758984522e-11,6.26931706646272e-11,uct_mcts,0,1024
1,1.0,-1.8931809331955833,-1.8931809334869223,2.9133895296240553e-10,0.025000000179357378,7.670743053600662e-11,1.8663626426666393e-10,1.8663626426666393e-10,uncertainty_mcts,0,1024
2,0.98,-1.7352994959951131,-1.7352995150724957,1.9077382562571188e-08,0.025000011531205218,4.760882668840097e-09,1.2449130787078787e-08,1.2449130765670084e-08,uncertainty_mcts,0,1024
3,0.9603999999999999,-1.6482455081535576,-1.6482464309953955,9.228418378359748e-07,0.025000552591954345,2.2229096380703395e-07,6.091757515123404e-07,6.091756926877913e-07,uncertainty_mcts,0,1024
4,0.9411919999999999,-1.4937755341295866,-1.4938000214264069,2.4487296820252524e-05,0.025014382346127507,5.544903650399067e-06,1.6472081952168773e-05,1.647202352884749e-05,uncertainty_mcts,0,1024
5,0.9223681599999999,-1.3403775744270126,-1.3407608310743597,0.00038325664734717435,0.025220325322173835,8.151130365075561e-05,0.00026246516621451007,0.0002624471518775392,uncertainty_mcts,0,1024
6,0.9039207967999998,-1.1867127994011897,-1.1902562647207597,0.0035434653195700605,0.026987711453246275,0.0007130228950942672,0.0024656882177510704,0.002463923933888711,uncertainty_mcts,0,1024
7,0.8858423808639998,-1.026149140158654,-1.045566534036278,0.01941739387762409,0.03557925793602335,0.0037670665734529023,0.013680336903650636,0.013630232070076673,uncertainty_mcts,0,1024
8,0.8681255332467198,-0.8482772484152475,-0.9117963265761794,0.06351907816093183,0.058097588606555076,0.012283929279538199,0.04467525596223256,0.044429326134070975,uncertainty_mcts,0,1024
9,0.8507630225817854,-0.6649846029395458,-0.7880097583852056,0.12302515544565984,0.08381861940556608,0.02539680351885542,0.08300552302084309,0.085334907936677,uncertainty_mcts,0,1024
10,0.8337477621301497,-0.5266156870861037,-0.6647114471415075,0.1380957600554038,0.08134561981040983,0.0358509239701466,0.08312578044800957,0.09657711866058419,uncertainty_mcts,0,1024
11,0.8170728068875467,-0.4470288590179226,-0.5454917220725991,0.0984628630546765,0.05513148022166387,0.040265976080476065,0.04619981773541829,0.06440391767533739,uncertainty_mcts,0,1024
12,0.8007313507497957,-0.40348312706937567,-0.4581012934429005,0.054618166373524846,0.034839614152872025,0.04130881272461494,0.015463785597337219,0.025307010781323306,uncertainty_mcts,0,1024
13,0.7847167237347998,-0.4050716603552904,-0.4310447812315773,0.025973120876286893,0.027004404853608645,0.04143500830191434,0.0031603698814223367,0.005859491599689077,uncertainty_mcts,0,1024
14,0.7690223892601038,-0.4620614240260483,-0.46984632685373734,0.007784902827689066,0.025249404239250303,0.04143973501939494,0.00038593749843894207,0.0007994099395842501,uncertainty_mcts,0,1024
15,0.7536419414749017,-0.524973043737926,-0.52656197656003,0.0015889328221040389,0.025022105333613577,0.041094606822708095,3.3492890395822737e-05,7.511882792767804e-05,uncertainty_mcts,0,1024
16,0.7385691026454037,-0.5380549081206233,-0.5304371277279819,-0.007617780392641382,0.025002005966621426,0.04109453008757609,3.0261717808511004e-06,7.471505815155953e-06,uncertainty_mcts,0,1024
17,0.7237977205924956,-0.5745931016087295,-0.5588447931091183,-0.015748308499611174,0.0250001408137599,0.041094519551461414,2.098845592478866e-07,5.704436309226574e-07,uncertainty_mcts,0,1024
18,0.7093217661806457,-0.5753633315689263,-0.5753635864028337,2.5483390742042644e-07,0.02500013454224138,2.4274857915198855e-08,2.004861517513353e-07,2.004861517513353e-07,uncertainty_mcts,0,1024
1,1.0,-1.8931809331955833,-1.8931809334869223,2.9133895296240553e-10,0.025000000179357378,7.670743053600662e-11,1.8663626426666393e-10,1.8663626426666393e-10,conservative_mcts,0,1024
2,0.98,-1.7352994959951131,-1.7352995150724957,1.9077382562571188e-08,0.025000011531205218,4.760882668840097e-09,1.2449130787078787e-08,1.2449130765670084e-08,conservative_mcts,0,1024
3,0.9603999999999999,-1.6482455081535576,-1.6482464309953955,9.228418378359748e-07,0.025000552591954345,2.2229096380703395e-07,6.091757515123404e-07,6.091756926877913e-07,conservative_mcts,0,1024
4,0.9411919999999999,-1.4937755341295866,-1.4938000214264069,2.4487296820252524e-05,0.025014382346127507,5.544903650399067e-06,1.6472081952168773e-05,1.647202352884749e-05,conservative_mcts,0,1024
5,0.9223681599999999,-1.3403775744270126,-1.3407608310743597,0.00038325664734717435,0.025220325322173835,8.151130365075561e-05,0.00026246516621451007,0.0002624471518775392,conservative_mcts,0,1024
6,0.9039207967999998,-1.1867127994011897,-1.1902562647207597,0.0035434653195700605,0.026987711453246275,0.0007130228950942672,0.0024656882177510704,0.002463923933888711,conservative_mcts,0,1024
7,0.8858423808639998,-1.026149140158654,-1.045566534036278,0.01941739387762409,0.03557925793602335,0.0037670665734529023,0.013680336903650636,0.013630232070076673,conservative_mcts,0,1024
8,0.8681255332467198,-0.8482772484152475,-0.9117963265761794,0.06351907816093183,0.058097588606555076,0.012283929279538199,0.04467525596223256,0.044429326134070975,conservative_mcts,0,1024
9,0.8507630225817854,-0.6649846029395458,-0.7880097583852056,0.12302515544565984,0.08381861940556608,0.02539680351885542,0.08300552302084309,0.085334907936677,conservative_mcts,0,1024
10,0.8337477621301497,-0.5266156870861037,-0.6647114471415075,0.1380957600554038,0.08134561981040983,0.0358509239701466,0.08312578044800957,0.09657711866058419,conservative_mcts,0,1024
11,0.8170728068875467,-0.4470288590179226,-0.5454917220725991,0.0984628630546765,0.05513148022166387,0.040265976080476065,0.04619981773541829,0.06440391767533739,conservative_mcts,0,1024
12,0.8007313507497957,-0.40348312706937567,-0.4581012934429005,0.054618166373524846,0.034839614152872025,0.04130881272461494,0.015463785597337219,0.025307010781323306,conservative_mcts,0,1024
13,0.7847167237347998,-0.4050716603552904,-0.4310447812315773,0.025973120876286893,0.027004404853608645,0.04143500830191434,0.0031603698814223367,0.005859491599689077,conservative_mcts,0,1024
14,0.7690223892601038,-0.4620614240260483,-0.46984632685373734,0.007784902827689066,0.025249404239250303,0.04143973501939494,0.00038593749843894207,0.0007994099395842501,conservative_mcts,0,1024
15,0.7536419414749017,-0.524973043737926,-0.52656197656003,0.0015889328221040389,0.025022105333613577,0.041094606822708095,3.3492890395822737e-05,7.511882792767804e-05,conservative_mcts,0,1024
16,0.7385691026454037,-0.5380549081206233,-0.5304371277279819,-0.007617780392641382,0.025002005966621426,0.04109453008757609,3.0261717808511004e-06,7.471505815155953e-06,conservative_mcts,0,1024
17,0.7237977205924956,-0.5745931016087295,-0.5588447931091183,-0.015748308499611174,0.0250001408137599,0.041094519551461414,2.098845592478866e-07,5.704436309226574e-07,conservative_mcts,0,1024
18,0.7093217661806457,-0.5753633315689263,-0.5753635864028337,2.5483390742042644e-07,0.02500013454224138,2.4274857915198855e-08,2.004861517513353e-07,2.004861517513353e-07,conservative_mcts,0,1024
