planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,seed,budget,simulations,tree_nodes,search_concentration,adaptive_search,root_value
random_open_loop,-27.41231125062626,-27.41231125062626,-27.412839381800932,0.0005281311746720974,0.00046561891187477187,0.3813549257779643,9.839417545634553e-05,0.0003847617944046444,0.0003846611557008024,1.3739712413913763,18.0,1.0,1.0,0,64,,,,,
best_of_n,-23.467668608762708,-23.467668608762708,-23.467692713077877,2.4104315169637403e-05,1.0459576632902373e-05,0.38108694746908534,2.1248647104721665e-06,2.5664437695953837e-06,2.5663902862196384e-06,1.2333673685308244,54.0,3.0,1.0,0,64,,,,,
uct_mcts,-19.68442382705271,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,64.0,,,0,64,4.0,5.0,0.25,1.0,-25.137476854347565
value_mcts,-10.53386450179576,-29.20537200146409,-29.207355384204355,0.0019833827402635507,0.001977829099367435,0.3823029080610149,0.0005287800630494662,0.0002293952760617923,0.00022939383620477593,1.762817181772686,64.0,,,0,64,64.0,65.0,0.21875,1.0,-11.13444131164271
uncertainty_mcts,-19.85753396978416,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,64.0,,,0,64,4.0,5.0,0.25,1.0,-25.407815468394563
conservative_mcts,-20.233205411874113,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,64.0,,,0,64,4.0,5.0,0.25,1.0,-25.960785883743874
random_open_loop,-32.781768658112426,-32.781768658112426,-32.78176872287884,6.47664109010293e-08,3.3727048792213514e-08,0.38108085743483705,9.345285710089035e-09,1.0574293423196575e-08,1.057429304924791e-08,1.9743349292919716,18.0,1.0,1.0,1,64,,,,,
best_of_n,-28.610439057618226,-28.610439057618226,-28.610439570006776,5.123885493674152e-07,1.794675550807161e-07,0.38108094605977993,4.5614286528170246e-08,4.858356568282275e-08,4.858354229164526e-08,1.6696632900359305,54.0,3.0,1.0,1,64,,,,,
uct_mcts,-18.13066901379036,-20.220394932125707,-20.220394988443356,5.631764921076865e-08,1.7995516483314984e-08,0.38108084710576157,3.9684612229192095e-09,3.6568896672403333e-09,3.6568895793463035e-09,1.102225022397877,64.0,,,1,64,4.0,5.0,0.25,1.0,-26.849001322816413
value_mcts,-10.297781716109112,-36.895019215796346,-36.895019215806364,1.0018652574217413e-11,6.142100161810049e-12,0.38108083643252466,1.6839461155650005e-12,3.853408813091017e-12,3.853408813091017e-12,1.9737081149733295,64.0,,,1,64,64.0,65.0,0.21875,1.0,-11.13340794718184
