planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,seed,budget,simulations,tree_nodes,search_concentration,adaptive_search,root_value
uncertainty_mcts,-18.303779156639052,-20.220394932125707,-20.220394988443356,5.631764921076865e-08,1.7995516483314984e-08,0.38108084710576157,3.9684612229192095e-09,3.6568896672403333e-09,3.6568895793463035e-09,1.102225022397877,64.0,,,1,64,4.0,5.0,0.25,1.0,-27.12010306985523
conservative_mcts,-18.67945059402889,-20.220394932125707,-20.220394988443356,5.631764921076865e-08,1.7995516483314984e-08,0.38108084710576157,3.9684612229192095e-09,3.6568896672403333e-09,3.6568895793463035e-09,1.102225022397877,64.0,,,1,64,4.0,5.0,0.25,1.0,-27.674465080319617
random_open_loop,-30.993180641267777,-30.993180641267777,-30.993180935776298,2.945085206818021e-07,2.082095529793498e-07,0.3810809653528782,5.6245884501915735e-08,5.3978306864458487e-08,5.397830512197189e-08,1.8777948524810062,18.0,1.0,1.0,2,64,,,,,
best_of_n,-30.993180641267777,-30.993180641267777,-30.993180935776298,2.945085206818021e-07,2.082095529793498e-07,0.3810809653528782,5.6245884501915735e-08,5.3978306864458487e-08,5.397830512197189e-08,1.8777948524810062,54.0,3.0,1.0,2,64,,,,,
uct_mcts,-19.02709310397418,-27.408070368666536,-27.408070368682345,1.580957587066223e-11,6.7012201094948274e-12,0.3810808364328715,1.835829951609107e-12,3.853408813091017e-12,3.853408813091017e-12,1.6002287467761087,64.0,,,2,64,4.0,5.0,0.25,1.0,-28.599124874089764
value_mcts,-10.52339700707938,-26.663292897427578,-26.66329290820382,1.0776243897225868e-08,4.2477220086955915e-09,0.38108083903698287,1.1054467513160482e-09,2.33047222361914e-09,2.33047222361914e-09,1.6002287467761087,64.0,,,2,64,64.0,65.0,0.21875,1.0,-11.114302793820029
uncertainty_mcts,-19.200203246675716,-27.408070368666536,-27.408070368682345,1.580957587066223e-11,6.7012201094948274e-12,0.3810808364328715,1.835829951609107e-12,3.853408813091017e-12,3.853408813091017e-12,1.6002287467761087,64.0,,,2,64,4.0,5.0,0.25,1.0,-28.869403970376826
conservative_mcts,-19.575874683375847,-27.408070368666536,-27.408070368682345,1.580957587066223e-11,6.7012201094948274e-12,0.3810808364328715,1.835829951609107e-12,3.853408813091017e-12,3.853408813091017e-12,1.6002287467761087,64.0,,,2,64,4.0,5.0,0.25,1.0,-29.422265852855787
random_open_loop,-28.59548808312403,-28.59548808312403,-28.59567596193132,0.00018787880728865503,0.00010389426384759624,0.38114356400470756,2.4987634021447e-05,4.793536598623906e-05,4.7925563423197284e-05,1.6018843251319528,18.0,1.0,1.0,3,64,,,,,
best_of_n,-28.59548808312403,-28.59548808312403,-28.59567596193132,0.00018787880728865503,0.00010389426384759624,0.38114356400470756,2.4987634021447e-05,4.793536598623906e-05,4.7925563423197284e-05,1.6018843251319528,54.0,3.0,1.0,3,64,,,,,
uct_mcts,-20.645688720314833,-37.30030668126824,-37.300306681268545,3.055333763768431e-13,2.3888446776254566e-13,0.38108083642885926,6.977169883037831e-14,1.4607981229732342e-13,1.4607981229732342e-13,1.99972498109115,64.0,,,3,64,4.0,5.0,0.25,1.0,-28.662638716843766
value_mcts,-10.216698268967942,-30.110693572531208,-30.11069357282721,2.9600144557662134e-10,9.305289822523211e-11,0.38108083648651964,2.5504827753108563e-11,3.853408816203766e-12,3.853408813091017e-12,1.9737081149733295,64.0,,,3,64,64.0,65.0,0.21875,1.0,-11.145098452889153
uncertainty_mcts,-20.818798862999625,-37.30030668126824,-37.300306681268545,3.055333763768431e-13,2.3888446776254566e-13,0.38108083642885926,6.977169883037831e-14,1.4607981229732342e-13,1.4607981229732342e-13,1.99972498109115,64.0,,,3,64,4.0,5.0,0.25,1.0,-28.932931255040028
conservative_mcts,-21.194470299660495,-37.30030668126824,-37.300306681268545,3.055333763768431e-13,2.3888446776254566e-13,0.38108083642885926,6.977169883037831e-14,1.4607981229732342e-13,1.4607981229732342e-13,1.99972498109115,64.0,,,3,64,4.0,5.0,0.25,1.0,-29.48581764827569
random_open_loop,-31.50518034473959,-31.50518034473959,-31.50612179693892,0.000941452199331394,0.000927048660132443,0.3816416031601112,0.00022417089269622452,0.0008152805438645268,0.0008150480847857215,1.6576384833114635,18.0,1.0,1.0,0,128,,,,,
best_of_n,-25.2651164627948,-25.2651164627948,-25.38139869144999,0.11628222865519078,0.0537568156116887,0.4129079184645285,0.011228210416266435,0.022400435066313645,0.022059793783383304,1.2593009931719095,126.0,7.0,1.0,0,128,,,,,
uct_mcts,-4.31080641290329,-33.417491113032504,-33.41749111307067,3.816325033767498e-11,2.3390363419271543e-11,0.3810808364434653,6.848477597654811e-12,1.8240557178319793e-12,1.8240557178319793e-12,1.99972498109115,128.0,,,0,128,8.0,9.0,0.125,1.0,-25.46670717355766
value_mcts,-11.305840385354859,-17.9941243922899,-23.76658395769146,5.772459565401558,3.6553508984660446,2.599146128116778,0.6846630782371192,0.5606835488743098,0.15139165615606656,1.3971211899951639,128.0,,,0,128,128.0,129.0,0.234375,1.0,-11.686740173094785
uncertainty_mcts,-4.331631412904044,-33.417491113032504,-33.41749111307067,3.816325033767498e-11,2.3390363419271543e-11,0.3810808364434653,6.848477597654811e-12,1.8240557178319793e-12,1.8240557178319793e-12,1.99972498109115,128.0,,,0,128,8.0,9.0,0.125,1.0,-25.744653890633742
conservative_mcts,-4.429606412909884,-33.417491113032504,-33.41749111307067,3.816325033767498e-11,2.3390363419271543e-11,0.3810808364434653,6.848477597654811e-12,1.8240557178319793e-12,1.8240557178319793e-12,1.99972498109115,128.0,,,0,128,8.0,9.0,0.125,1.0,-26.31149790538094
random_open_loop,-30.511622684883072,-30.511622684883072,-30.51162268545067,5.67599300893562e-10,2.664640370168255e-10,0.38108083659248426,6.964411971976202e-11,1.327539738596854e-10,1.3275397382875403e-10,1.7324445026817699,18.0,1.0,1.0,1,128,,,,,
best_of_n,-28.560259377338387,-28.560259377338387,-28.560430372622196,0.0001709952838098161,6.617849965866462e-05,0.38112082744222797,1.598485508823631e-05,1.133649747077818e-05,1.1333631748524112e-05,1.6105119784422564,126.0,7.0,1.0,1,128,,,,,
uct_mcts,-3.546565165627369,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,128.0,,,1,128,8.0,9.0,0.125,1.0,-26.958902346402645
value_mcts,-11.349158879146056,-28.851204898319246,-28.852926242317654,0.0017213439984082868,0.001711425603497694,0.38213799276224986,0.00045695825221934793,0.0002318670143668921,0.0002318672584930222,1.7102995107153003,128.0,,,1,128,128.0,129.0,0.25,1.0,-11.704017829141325
uncertainty_mcts,-3.567390267799322,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,128.0,,,1,128,8.0,9.0,0.125,1.0,-27.226343164448558
conservative_mcts,-3.665365459457257,-13.882676573203659,-14.321173927735257,0.43849735453159866,0.3267909992705065,0.5545390751254444,0.0364101566984261,0.08963911246386698,0.09783172818156793,0.4049031858048676,128.0,,,1,128,8.0,9.0,0.125,1.0,-27.774029363317233
random_open_loop,-21.833017823646703,-21.833017823646703,-21.833083895555358,6.607190865537405e-05,4.39320099736115e-05,0.38110623252652825,8.404051755548944e-06,3.0055030761142507e-05,3.0053992110528996e-05,1.0734220749065349,18.0,1.0,1.0,2,128,,,,,
best_of_n,-21.833017823646703,-21.833017823646703,-21.833083895555358,6.607190865537405e-05,4.39320099736115e-05,0.38110623252652825,8.404051755548944e-06,3.0055030761142507e-05,3.0053992110528996e-05,1.0734220749065349,126.0,7.0,1.0,2,128,,,,,
uct_mcts,-4.074393413155788,-30.482274735126996,-30.4822747369922,1.8652031030796934e-09,5.825464720618228e-10,0.381080836791417,1.6119130503720192e-10,2.4036532005141548e-11,2.4036531885672695e-11,1.99972498109115,128.0,,,2,128,8.0,9.0,0.125,1.0,-26.658791376763755
value_mcts,-11.372840341311417,-25.928597690603205,-25.928605884053407,8.193450202753638e-06,2.888457258764398e-06,0.3810825856783371,7.049753472616801e-07,1.3314156742485717e-07,1.331393947849619e-07,1.6875251400534714,128.0,,,2,128,128.0,129.0,0.203125,1.0,-11.757569737919393
uncertainty_mcts,-4.095218413155957,-30.482274735126996,-30.4822747369922,1.8652031030796934e-09,5.825464720618228e-10,0.381080836791417,1.6119130503720192e-10,2.4036532005141548e-11,2.4036531885672695e-11,1.99972498109115,128.0,,,2,128,8.0,9.0,0.125,1.0,-26.92623243493742
conservative_mcts,-4.193193413213368,-30.482274735126996,-30.4822747369922,1.8652031030796934e-09,5.825464720618228e-10,0.381080836791417,1.6119130503720192e-10,2.4036532005141548e-11,2.4036531885672695e-11,1.99972498109115,128.0,,,2,128,8.0,9.0,0.125,1.0,-27.47391907168501
random_open_loop,-31.766479453834656,-31.766479453834656,-31.766479468399382,1.4564726313892606e-08,6.146256777320787e-09,0.3810808402284414,1.6487516071882376e-09,1.7096392580870378e-09,1.7096392201257124e-09,1.879606303435595,18.0,1.0,1.0,3,128,,,,,
best_of_n,-24.189562099512898,-24.189562099512898,-24.18958379749926,2.169798636231235e-05,6.8507785476457355e-06,0.3810848944395432,1.4979606547942491e-06,2.640722487165453e-06,2.640707109387027e-06,1.4125112476028534,126.0,7.0,1.0,3,128,,,,,
uct_mcts,-4.110275594409741,-29.919034340339508,-29.92093955973672,0.0019052193972122211,0.001895480632123328,0.38225194509920885,0.0005066069374257703,0.0002318670075118903,0.0002318672584930222,1.8702631179123843,128.0,,,3,128,8.0,9.0,0.125,1.0,-25.094858275258225
value_mcts,-11.362229957487616,-35.195703440494334,-35.19570374890186,3.0840752884842004e-07,1.7715199278629218e-07,0.3810809445071722,4.476102762514401e-08,1.1403744406115877e-07,1.1403744227892142e-07,1.762817181772686,128.0,,,3,128,128.0,129.0,0.203125,1.0,-11.733494484825913
uncertainty_mcts,-4.131100594672462,-29.919034340339508,-29.92093955973672,0.0019052193972122211,0.001895480632123328,0.38225194509920885,0.0005066069374257703,0.0002318670075118903,0.0002318672584930222,1.8702631179123843,128.0,,,3,128,8.0,9.0,0.125,1.0,-25.362297117629154
conservative_mcts,-4.229075595363225,-29.919034340339508,-29.92093955973672,0.0019052193972122211,0.001895480632123328,0.38225194509920885,0.0005066069374257703,0.0002318670075118903,0.0002318672584930222,1.8702631179123843,128.0,,,3,128,8.0,9.0,0.125,1.0,-25.909979713795288
random_open_loop,-27.85502973329874,-27.85502973329874,-27.85503027964158,5.463428394136827e-07,1.445834253113304e-07,0.38108092323333503,3.384070662648793e-08,9.765980537411858e-08,9.765980358935068e-08,1.591085166375867,18.0,1.0,1.0,0,256,,,,,
best_of_n,-22.55377666346349,-22.55377666346349,-22.571893968950214,0.0181173054867223,0.007146332634740536,0.38523612028697707,0.0014061976672614775,0.0024800526400648847,0.002463923933888711,1.1643938913438987,252.0,14.0,1.0,0,256,,,,,
uct_mcts,-24.393017419301323,-34.593670420679985,-34.59367043093793,1.0257942051339342e-08,2.7246354388523743e-09,0.38108083811331206,7.312404202958551e-10,1.7096392201257124e-09,1.7096392201257124e-09,1.91637678967368,256.0,,,0,256,15.0,16.0,0.4666666666666667,1.0,-27.72429740018613
value_mcts,-11.98135982700739,-34.82046366076071,-34.820463660777506,1.679723027336877e-11,6.1633734517038065e-12,0.3810808364325384,1.6908873306833314e-12,3.853408813091017e-12,3.853408813091017e-12,1.9737081149733295,256.0,,,0,256,256.0,257.0,0.27734375,1.0,-12.151451121790998
uncertainty_mcts,-24.809766959489583,-34.593670420679985,-34.59367043093793,1.0257942051339342e-08,2.7246354388523743e-09,0.38108083811331206,7.312404202958551e-10,1.7096392201257124e-09,1.7096392201257124e-09,1.91637678967368,256.0,,,0,256,15.0,16.0,0.4666666666666667,1.0,-28.08024317387642
conservative_mcts,-25.680122071963883,-34.593670420679985,-34.59367043093793,1.0257942051339342e-08,2.7246354388523743e-09,0.38108083811331206,7.312404202958551e-10,1.7096392201257124e-09,1.7096392201257124e-09,1.91637678967368,256.0,,,0,256,15.0,16.0,0.4666666666666667,1.0,-28.81284079361196
random_open_loop,-25.995794576938348,-25.995794576938348,-25.995799168502774,4.591564426448258e-06,2.4254422263220984e-06,0.3810822688550439,5.221584958120427e-07,1.5638137797221893e-06,1.5638098948017007e-06,1.4131039291274123,18.0,1.0,1.0,1,256,,,,,
best_of_n,-25.530774370786677,-25.530774370786677,-25.55264705746454,0.02187268667786313,0.01639501769741453,0.3906886646905255,0.003322078512074592,0.009095407690287322,0.00905661227560662,1.2507583508573883,252.0,14.0,1.0,1,256,,,,,
uct_mcts,-24.651762397049538,-33.953091115883986,-33.95309111590474,2.0754953311552526e-11,6.1394889172561305e-12,0.381080836432523,1.6830569636931216e-12,3.853408813091017e-12,3.853408813091017e-12,1.9737081149733295,256.0,,,1,256,15.0,16.0,0.2,1.0,-28.915718387657474
value_mcts,-11.92630196176996,-35.949263640088695,-35.949263646272804,6.1841092247050256e-09,3.3027313264106794e-09,0.38108083846936613,8.837559561809628e-10,1.7096392201257124e-09,1.7096392201257124e-09,1.879606303435595,256.0,,,1,256,256.0,257.0,0.265625,1.0,-12.113563505128456
uncertainty_mcts,-24.897367444366523,-33.953091115883986,-33.95309111590474,2.0754953311552526e-11,6.1394889172561305e-12,0.381080836432523,1.6830569636931216e-12,3.853408813091017e-12,3.853408813091017e-12,1.9737081149733295,256.0,,,1,256,15.0,16.0,0.2,1.0,-29.20472674595893
conservative_mcts,-25.44443547183631,-33.953091115883986,-33.95309111590474,2.0754953311552526e-11,6.1394889172561305e-12,0.381080836432523,1.6830569636931216e-12,3.853408813091017e-12,3.853408813091017e-12,1.9737081149733295,256.0,,,1,256,15.0,16.0,0.2,1.0,-29.815262006030018
random_open_loop,-26.59206955130967,-26.59206955130967,-26.592070188197745,6.368880747231742e-07,2.205215912598716e-07,0.3810809701692686,5.419126607953711e-08,7.165189737406491e-08,7.16518917053792e-08,1.296895983453792,18.0,1.0,1.0,2,256,,,,,
best_of_n,-24.574084068226966,-24.574084068226966,-24.574237272759575,0.00015320453260869726,0.00013736543988644403,0.38115964330483804,2.512289811825224e-05,6.617406688304649e-05,6.615891631300187e-05,1.0979863124376408,252.0,14.0,1.0,2,256,,,,,
uct_mcts,-23.92579388998247,-29.581861570594377,-29.583581443271758,0.0017198726773806072,0.0017103259252414622,0.3821373185964934,0.0004566741403788638,0.00023186700757656594,0.0002318672584930222,1.8681809334215997,256.0,,,2,256,15.0,16.0,0.26666666666666666,1.0,-28.618627023556048
value_mcts,-11.97565477299763,-26.854752060292213,-27.00802194628259,0.15326988599037605,0.06854597125789516,0.4229532502106224,0.017043013054080052,0.006372618579858618,0.006020389590141038,1.6701197561851664,256.0,,,2,256,256.0,257.0,0.28125,1.0,-12.168366456848297
uncertainty_mcts,-24.181611919563917,-29.581861570594377,-29.583581443271758,0.0017198726773806072,0.0017103259252414622,0.3821373185964934,0.0004566741403788638,0.00023186700757656594,0.0002318672584930222,1.8681809334215997,256.0,,,2,256,15.0,16.0,0.26666666666666666,1.0,-28.90563191470316
conservative_mcts,-24.752203628355247,-29.581861570594377,-29.583581443271758,0.0017198726773806072,0.0017103259252414622,0.3821373185964934,0.0004566741403788638,0.00023186700757656594,0.0002318672584930222,1.8681809334215997,256.0,,,2,256,15.0,16.0,0.26666666666666666,1.0,-29.512513779207048
random_open_loop,-33.6197927296978,-33.6197927296978,-33.61979275194036,2.2242559793994587e-08,1.0849056647711367e-08,0.38108084316327695,2.9629535724785172e-09,4.323073226916741e-09,4.323073146658687e-09,1.91637678967368,18.0,1.0,1.0,3,256,,,,,
best_of_n,-21.322476173490905,-21.322476173490905,-21.552373778954752,0.2298976054638473,0.17484837550025445,0.4803245642239326,0.02856961245011912,0.09029729142016875,0.0871463974387828,0.955324066363345,252.0,14.0,1.0,3,256,,,,,
uct_mcts,-25.071095246631465,-29.919034340339508,-29.92093955973672,0.0019052193972122211,0.001895480632123328,0.38225194509920885,0.0005066069374257703,0.0002318670075118903,0.0002318672584930222,1.8702631179123843,256.0,,,3,256,15.0,16.0,0.26666666666666666,1.0,-29.042766478963514
value_mcts,-11.965696595788826,-36.76137528958066,-36.761375289585374,4.710898338089464e-12,2.8285340292200087e-12,0.38108083643047586,7.936069215236177e-13,1.6487072934328003e-12,1.6487072934295495e-12,1.99972498109115,256.0,,,3,256,256.0,257.0,0.25390625,1.0,-12.177969315706074
uncertainty_mcts,-25.378686273717516,-29.919034340339508,-29.92093955973672,0.0019052193972122211,0.001895480632123328,0.38225194509920885,0.0005066069374257703,0.0002318670075118903,0.0002318672584930222,1.8702631179123843,256.0,,,3,256,15.0,16.0,0.26666666666666666,1.0,-29.343307862783703
conservative_mcts,-26.043687563711394,-29.919034340339508,-29.92093955973672,0.0019052193972122211,0.001895480632123328,0.38225194509920885,0.0005066069374257703,0.0002318670075118903,0.0002318672584930222,1.8702631179123843,256.0,,,3,256,15.0,16.0,0.26666666666666666,1.0,-29.974873919780748
