planner,budget,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,seed,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_true_return,episode_mean_plan_gap
conservative_mcts,64,-19.920750247234835,-24.702862138816037,-24.812486491532376,0.10962435271634074,0.08169775431824076,0.4244453987732342,0.009102540167198232,0.022409779031189035,0.02445793296061425,1.2767704840175007,64.0,,,1.5,4.0,5.0,0.25,1.0,-28.135833616298743,,
conservative_mcts,128,-4.129310220235934,-26.925369190425666,-27.03546983438371,0.11010064395804431,0.08217162012714166,0.4247381733648839,0.009229190950972913,0.022467744874309865,0.024515898866480385,1.5686540664748878,128.0,,,1.5,8.0,9.0,0.125,1.0,-26.867356513544618,,
conservative_mcts,256,-25.48011218396671,-32.01191436187446,-32.01282063746279,0.0009062755883224582,0.0009014523220349295,0.3816377345603843,0.00024082045268202786,0.00011593393214527129,0.00011593405761966833,1.9071322389952483,256.0,,,1.5,15.0,16.0,0.3,1.0,-29.528872624657446,-6.771321043120128,0.5796346992320616
random_open_loop,64,-29.945687158282624,-29.945687158282624,-29.945866250596847,0.0001790923142230838,0.00014243877808103493,0.3811650781425968,3.0861850162001136e-05,0.00010819042824779278,0.00010816281793054273,1.7069963370740768,18.0,1.0,1.0,1.5,,,,,,,
random_open_loop,128,-28.904075076776003,-28.904075076776003,-28.904326961586083,0.0002518848100780957,0.00024274677070671723,0.3812273781268913,5.8144165711875094e-05,0.0002113343542547253,0.0002112759798223611,1.5857778410838408,18.0,1.0,1.0,1.5,,,,,,,
random_open_loop,256,-28.51567164781114,-28.51567164781114,-28.515673097070614,1.4492594750947774e-06,7.00349074885253e-07,0.38108125135523113,1.5328835552263657e-07,4.3436213892432233e-07,4.343611658107723e-07,1.5543654671576879,18.0,1.0,1.0,1.5,,,,,,-7.551362475870236,5.8930017758695996e-05
static_rollout_pool,64,-27.916694097693185,-27.916694097693185,-27.916747295198068,5.319750488208541e-05,2.868537939713967e-05,0.38109810572161273,6.803589725737313e-06,1.265109290709543e-05,1.2648628889207635e-05,1.5956774590449285,54.0,3.0,1.0,1.5,,,,,,,
static_rollout_pool,128,-24.961988940823197,-24.961988940823197,-24.991124189281702,0.02913524845850457,0.013468444224967156,0.38905496821820695,0.0028135243209412536,0.005611116829258183,0.005525955528587936,1.3389365735308885,126.0,7.0,1.0,1.5,,,,,,,
static_rollout_pool,256,-23.495277818992008,-23.495277818992008,-23.56278801953227,0.06751020054026036,0.04963177281807399,0.4093522481265683,0.00833075288189336,0.025484731454351,0.024683273141147783,1.117115655250568,252.0,14.0,1.0,1.5,,,,,,-7.281148541270854,0.15074705296693391
uct_mcts,64,-19.37196866628302,-24.702862138816037,-24.812486491532376,0.10962435271634074,0.08169775431824076,0.4244453987732342,0.009102540167198232,0.022409779031189035,0.02445793296061425,1.2767704840175007,64.0,,,1.5,4.0,5.0,0.25,1.0,-27.312060442024375,,
uct_mcts,128,-4.010510146524047,-26.925369190425666,-27.03546983438371,0.11010064395804431,0.08217162012714166,0.4247381733648839,0.009229190950972913,0.022467744874309865,0.024515898866480385,1.5686540664748878,128.0,,,1.5,8.0,9.0,0.125,1.0,-26.04481479299557,,
uct_mcts,256,-24.5104172382412,-32.01191436187446,-32.01282063746279,0.0009062755883224582,0.0009014523220349295,0.3816377345603843,0.00024082045268202786,0.00011593393214527129,0.00011593405761966833,1.9071322389952483,256.0,,,1.5,15.0,16.0,0.3,1.0,-28.575352322590792,-7.08936637751297,1.1137165596738137
uncertainty_mcts,64,-19.545078809024638,-24.702862138816037,-24.812486491532376,0.10962435271634074,0.08169775431824076,0.4244453987732342,0.009102540167198232,0.022409779031189035,0.02445793296061425,1.2767704840175007,64.0,,,1.5,4.0,5.0,0.25,1.0,-27.582563440916662,,
uncertainty_mcts,128,-4.0313351721329465,-26.925369190425666,-27.03546983438371,0.11010064395804431,0.08217162012714166,0.4247381733648839,0.009229190950972913,0.022467744874309865,0.024515898866480385,1.5686540664748878,128.0,,,1.5,8.0,9.0,0.125,1.0,-26.314881651912216,,
uncertainty_mcts,256,-24.816858149284386,-32.01191436187446,-32.01282063746279,0.0009062755883224582,0.0009014523220349295,0.3816377345603843,0.00024082045268202786,0.00011593393214527129,0.00011593405761966833,1.9071322389952483,256.0,,,1.5,15.0,16.0,0.3,1.0,-28.883477424330554,-6.731070277269283,0.986754032663278
value_mcts,64,-10.392935373488049,-30.718594421804806,-30.719090270260438,0.0004958484556318865,0.0004944583615711104,0.38138635500426055,0.00013219529892124785,5.7349403560208386e-05,5.7349043595954296e-05,1.8276155396238636,64.0,,,1.5,64.0,65.0,0.21875,1.0,-11.131812626383432,,
value_mcts,128,-11.347517390824986,-26.99240760542667,-28.435954958241098,1.4435473528144245,0.9142663474196985,0.9358619127661343,0.17128019655642837,0.14022891576692206,0.03790594264784916,1.6394407556341555,128.0,,,1.5,128.0,129.0,0.22265625,1.0,-11.720455556245355,,
value_mcts,256,-11.96225328939095,-33.59646366268057,-33.63478113572957,0.03831747304899835,0.017136493642404597,0.3915489403857507,0.004260753485080126,0.0015931550737499885,0.0015050978263205935,1.88078978892131,256.0,,,1.5,256.0,257.0,0.26953125,1.0,-12.152837599868455,-6.639835336623314,0.7907456864332979
