depth,discount,model_reward,true_reward,reward_bias,uncertainty,transition_error,model_pocket_score,true_pocket_score,planner,seed,budget
1,1.0,-1.8931809331955833,-1.8931809334869223,2.9133895296240553e-10,0.025000000179357378,7.670743053600662e-11,1.8663626426666393e-10,1.8663626426666393e-10,best_of_n,0,256
2,0.98,-1.7352994959951131,-1.7352995150724957,1.9077382562571188e-08,0.025000011531205218,4.760882668840097e-09,1.2449130787078787e-08,1.2449130765670084e-08,best_of_n,0,256
3,0.9603999999999999,-1.6482455081535576,-1.6482464309953955,9.228418378359748e-07,0.025000552591954345,2.2229096380703395e-07,6.091757515123404e-07,6.091756926877913e-07,best_of_n,0,256
4,0.9411919999999999,-1.787816824280987,-1.7878172216857908,3.9740480373140485e-07,0.025000106947086494,2.6647469688671964e-07,1.1403800000051401e-07,1.1403744227892142e-07,best_of_n,0,256
5,0.9223681599999999,-1.6355065388845018,-1.6355135471752478,7.008290745957879e-06,0.02500405323440625,1.8540001121696553e-06,4.482116593661122e-06,4.4820942617440855e-06,best_of_n,0,256
6,0.9039207967999998,-1.4847356277513883,-1.4848901757437591,0.00015454799237080152,0.025090431254975152,3.519089959171723e-05,0.00010380467747438185,0.00010380183370298689,best_of_n,0,256
7,0.8858423808639998,-1.4250332587318055,-1.4271322928757593,0.0020990341439537374,0.026216474124767374,0.0004720090636249663,0.001417220041860144,0.0014165790847433855,best_of_n,0,256
8,0.8681255332467198,-1.4842669653255582,-1.4848901757437591,0.0006232104182009035,0.025090967666606737,0.0005053935433847618,0.00010443275802041574,0.00010380183370298689,best_of_n,0,256
9,0.8507630225817854,-1.3343583798834857,-1.336906341687496,0.0025479618040102903,0.02619359162194357,0.0009157267751556799,0.0014236553875652197,0.001416509812375644,best_of_n,0,256
10,0.8337477621301497,-1.1858665342066643,-1.1902562647207597,0.0043897305140954135,0.02699883759018229,0.0015494254426299716,0.0024800526400648847,0.002463923933888711,best_of_n,0,256
11,0.8170728068875467,-1.3388350010094427,-1.3407608310743597,0.001925830064916978,0.02522386944274631,0.0016262760407858255,0.00026679467691676683,0.0002624471518775392,best_of_n,0,256
12,0.8007313507497957,-1.299138649943576,-1.3007923608650183,0.0016537109214422863,0.025035472842957544,0.0016380070679448623,4.272186015399212e-05,4.2074130029480534e-05,best_of_n,0,256
13,0.7847167237347998,-1.4345883405343633,-1.4362466120337012,0.0016582714993378378,0.025021234356513097,0.0016455904429194628,2.468779762672412e-05,2.418841637690745e-05,best_of_n,0,256
14,0.7690223892601038,-1.4029716973962787,-1.4045710087590897,0.0015993113628109956,0.025002886342701786,0.0016465841459076171,3.383141485048861e-06,3.321240828971328e-06,best_of_n,0,256
15,0.7536419414749017,-1.3894903816895483,-1.3910282111835208,0.0015378294939725201,0.025000232231709087,0.0016466607017170166,2.7315337633317215e-07,2.687099959896363e-07,best_of_n,0,256
16,0.7385691026454037,-1.3946919082790028,-1.396150132193271,0.0014582239142681974,0.02500001106308303,0.0016466641688754004,1.2995024429896605e-08,1.2810255702529456e-08,best_of_n,0,256
17,0.7237977205924956,-1.235440743269338,-1.2368899444127275,0.0014492011433895335,0.025000144030843822,0.0016467055067649267,1.7644416549103594e-07,1.7481245036186577e-07,best_of_n,0,256
18,0.7093217661806457,-1.2104406962826393,-1.2118899444127276,0.0014492481300882876,0.025000144030955015,0.0016467468449882555,1.7644430393415018e-07,1.7481245036186577e-07,best_of_n,0,256
1,1.0,-1.9413767875851797,-1.9413767902720538,2.6868740565788585e-09,0.02500000166109042,7.207888462984599e-10,1.7096392201257124e-09,1.7096392201257124e-09,uct_mcts,0,256
