budget,planner,baseline,n,mean_delta,median_delta,positive_fraction,min_delta,max_delta,bootstrap_mean_delta_low,bootstrap_mean_delta_high
64,uct_mcts,static_rollout_pool,4,0.10957115521145866,-3.75281805631289e-07,0.25,-0.00018787880698312165,0.438473250216429,-0.00014098272841511772,0.3288548236445967
64,value_mcts,static_rollout_pool,4,0.0004426509507498011,-3.980554037497086e-07,0.25,-0.00018787851128720945,0.0019592784250939133,-0.00014097981653460323,0.0014693307241877562
64,uncertainty_mcts,static_rollout_pool,4,0.10957115521145866,-3.75281805631289e-07,0.25,-0.00018787880698312165,0.438473250216429,-0.00014098272841511772,0.3288548236445967
64,conservative_mcts,static_rollout_pool,4,0.10957115521145866,-3.75281805631289e-07,0.25,-0.00018787880698312165,0.438473250216429,-0.00014098272841511772,0.3288548236445967
128,uct_mcts,static_rollout_pool,4,0.08096539549953974,0.0009087256836988189,0.5,-0.11628222861702753,0.43832635924778884,-0.08674079111005817,0.32872825192497857
128,value_mcts,static_rollout_pool,4,1.41441210435592,0.0007644795678825034,0.5,-5.787845845262041e-05,5.656177336746367,-3.963401864304217e-05,4.242127655165067
128,uncertainty_mcts,static_rollout_pool,4,0.08096539549953974,0.0009087256836988189,0.5,-0.11628222861702753,0.43832635924778884,-0.08674079111005817,0.32872825192497857
128,conservative_mcts,static_rollout_pool,4,0.08096539549953974,0.0009087256836988189,0.5,-0.11628222861702753,0.43832635924778884,-0.08674079111005817,0.32872825192497857
256,uct_mcts,static_rollout_pool,4,-0.0666039249519379,-0.019994990942944213,0.25,-0.22799238606663508,0.00156666814477191,-0.17552361335717137,-0.0042931705556981115
256,value_mcts,static_rollout_pool,4,-0.029192727491262005,-0.019994992981839488,0.25,-0.2298976054591364,0.15311668145776736,-0.17695253046183357,0.10936934096988704
256,uncertainty_mcts,static_rollout_pool,4,-0.0666039249519379,-0.019994990942944213,0.25,-0.22799238606663508,0.00156666814477191,-0.17552361335717137,-0.0042931705556981115
256,conservative_mcts,static_rollout_pool,4,-0.0666039249519379,-0.019994990942944213,0.25,-0.22799238606663508,0.00156666814477191,-0.17552361335717137,-0.0042931705556981115
