planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,dataset,seed,budget,horizon,reward_bias,output_tag,simulations,tree_nodes,search_concentration,adaptive_search,root_value
static_rollout_pool,-22.411668656339405,-22.411668656339405,-22.412026501832038,0.0003578454926334018,0.00017286205509438297,0.3811818060071246,3.506125421247564e-05,7.614738773860824e-05,7.614024915781848e-05,1.1398491215875728,1008.0,56.0,1.0,capture_replay,0,1024,18,1.15,default,,,,,
uct_mcts,-27.373267657628112,-31.548684966616182,-31.548685018224266,5.1608083140308736e-08,2.4266023878645588e-08,0.38108085129134905,6.2428720734253445e-09,1.327482181650512e-08,1.327482179233308e-08,1.7786792853125601,1024.0,,,capture_replay,0,1024,18,1.15,default,62.0,63.0,0.532258064516129,1.0,-28.424144315325627
uncertainty_mcts_085,-27.474893889131856,-14.520499628243698,-14.950952597598837,0.4304529693551391,0.32294844327979116,0.5524995541096452,0.03598187434356138,0.08312578044800957,0.09657711866058419,0.4039939591716862,1024.0,,,capture_replay,0,1024,18,1.15,default,62.0,63.0,0.6290322580645161,1.0,-28.286798644961994
uncertainty_mcts_240,-28.03462501869124,-14.520499628243698,-14.950952597598837,0.4304529693551391,0.32294844327979116,0.5524995541096452,0.03598187434356138,0.08312578044800957,0.09657711866058419,0.4039939591716862,1024.0,,,capture_replay,0,1024,18,1.15,default,62.0,63.0,0.6290322580645161,1.0,-28.834648936528485
conservative_mcts,-28.226530689077535,-14.520499628243698,-14.950952597598837,0.4304529693551391,0.32294844327979116,0.5524995541096452,0.03598187434356138,0.08312578044800957,0.09657711866058419,0.4039939591716862,1024.0,,,capture_replay,0,1024,18,1.15,default,62.0,63.0,0.6290322580645161,1.0,-28.991847673253698
static_rollout_pool,-23.58847507867917,-23.58847507867917,-24.06599158948811,0.47751651080893964,0.3246964764835488,0.5694079061623459,0.0576403147857413,0.13799329324628884,0.1279767739975977,1.0706278866968655,1008.0,56.0,1.0,capture_replay,1,1024,18,1.15,default,,,,,
uct_mcts,-27.50833060325669,-30.0206891631082,-30.020698491734407,9.328626205729051e-06,5.934062173021305e-06,0.3810844451516209,1.477138243012293e-06,3.2880754556863346e-06,3.288073576040349e-06,1.6936730155345059,1024.0,,,capture_replay,1,1024,18,1.15,default,64.0,65.0,0.796875,1.0,-28.260971647300433
uncertainty_mcts_085,-26.800107364772053,-32.401674557227544,-32.40174144413377,6.688690622524973e-05,3.035425162701986e-05,0.3810988936353088,6.784464043741009e-06,1.6472422452498928e-05,1.6472023528847518e-05,1.468794256218172,1024.0,,,capture_replay,1,1024,18,1.15,default,64.0,65.0,0.78125,1.0,-27.77846956507411
uncertainty_mcts_240,-27.88976747781944,-25.077825655301915,-25.078064829609545,0.00023917430763020775,8.961871534757726e-05,0.3811347122611693,2.1110984328760268e-05,4.483997148266558e-06,4.482094261744102e-06,1.6105119784422564,1024.0,,,capture_replay,1,1024,18,1.15,default,63.0,64.0,0.7777777777777778,1.0,-28.760546344149283
conservative_mcts,-28.30485944323378,-32.83311295846593,-32.83316783581502,5.487734908626862e-05,2.636349311916477e-05,0.38109660410856194,6.0543325435733505e-06,1.756460326859048e-05,1.7564533702831437e-05,1.5478798889921974,1024.0,,,capture_replay,1,1024,18,1.15,default,64.0,65.0,0.796875,1.0,-29.081482932933277
static_rollout_pool,-18.890885652239824,-18.890885652239824,-18.891123392799905,0.0002377405600810789,0.00017190577713318964,0.3811744081978693,2.17634286741074e-05,0.00010402172984635958,0.00010401422884424124,0.6691481309274924,1008.0,56.0,1.0,capture_replay,2,1024,18,1.15,default,,,,,
uct_mcts,-27.487069564597967,-30.272394495511417,-30.272396983992486,2.4884810692071824e-06,1.2560116271682003e-06,0.38108159577588757,3.0407058852197353e-07,6.091762001971623e-07,6.091756926877913e-07,1.623246217783903,1024.0,,,capture_replay,2,1024,18,1.15,default,62.0,63.0,0.5483870967741935,1.0,-28.3474748156518
uncertainty_mcts_085,-25.901012821139364,-30.220927484134187,-30.22092963151146,2.1473772733315855e-06,1.1027698867436046e-06,0.3810815022683537,2.653194448389064e-07,6.091757618292789e-07,6.091756926877913e-07,1.623246217783903,1024.0,,,capture_replay,2,1024,18,1.15,default,65.0,66.0,0.7846153846153846,1.0,-26.800802046838548
uncertainty_mcts_240,-26.48875099519758,-32.14202881179008,-32.142032336814445,3.525024368400409e-06,1.5931115605707834e-06,0.38108177773384366,3.438140982123298e-07,1.0595688400052944e-06,1.0595684952023538e-06,1.4234312653231604,1024.0,,,capture_replay,2,1024,18,1.15,default,65.0,66.0,0.7846153846153846,1.0,-27.377484451386835
conservative_mcts,-27.925695817596935,-28.431081439689578,-28.432905604080798,0.0018241643912197958,0.001810703751138819,0.38219924061089366,0.0004833254273549628,0.00022939499496974072,0.00022939383620477593,1.623246217783903,1024.0,,,capture_replay,2,1024,18,1.15,default,63.0,64.0,0.746031746031746,1.0,-28.593638913743387
static_rollout_pool,-23.17290029015435,-23.17290029015435,-23.17316186489432,0.00026157473996946123,9.803187360025192e-05,0.3811381425855717,1.9971716290376634e-05,4.207904173377522e-05,4.2074130029480534e-05,1.275777634919508,1008.0,56.0,1.0,capture_replay,3,1024,18,1.15,default,,,,,
uct_mcts,-26.068825772530126,-31.890658028087245,-31.890696181879065,3.815379182015022e-05,1.695435584687755e-05,0.3810908234301339,3.600079405634848e-06,1.1331769783096367e-05,1.1331739608155745e-05,1.3959846879744016,1024.0,,,capture_replay,3,1024,18,1.15,default,64.0,65.0,0.796875,1.0,-27.042239657735326
uncertainty_mcts_085,-26.816733688816758,-13.82145022983622,-13.94517894255529,0.12372871271906938,0.1020769941956777,0.43515736340250377,0.010394920847674563,0.02671831769458267,0.02705668681032115,0.29932089174654347,1024.0,,,capture_replay,3,1024,18,1.15,default,63.0,64.0,0.7936507936507936,1.0,-27.71218408169167
uncertainty_mcts_240,-27.3112839097616,-13.82145022983622,-13.94517894255529,0.12372871271906938,0.1020769941956777,0.43515736340250377,0.010394920847674563,0.02671831769458267,0.02705668681032115,0.29932089174654347,1024.0,,,capture_replay,3,1024,18,1.15,default,63.0,64.0,0.7936507936507936,1.0,-28.215765825019613
conservative_mcts,-27.780023548049122,-16.80572176936975,-16.80621053257441,0.000488763204661069,0.00020037179914595465,0.3811963721948969,3.7764540040672086e-05,4.5522733324091164e-05,4.551457126360642e-05,0.7137355548433281,1024.0,,,capture_replay,3,1024,18,1.15,default,63.0,64.0,0.7936507936507936,1.0,-28.604829030252958
static_rollout_pool,-22.627042113663293,-22.627042113663293,-22.627042570499597,4.5683630389703467e-07,1.786039463941946e-07,0.38108094067340453,3.608204116995744e-08,7.057680528910543e-08,7.057679631590316e-08,1.090635795133694,1008.0,56.0,1.0,capture_replay,4,1024,18,1.15,default,,,,,
uct_mcts,-26.63715293963885,-15.806769408846105,-22.828237547025036,7.021468138178932,3.965138296397338,2.6225800164364244,0.6491098100768325,0.909734362663355,0.3596618382464374,1.2858411661918059,1024.0,,,capture_replay,4,1024,18,1.15,default,63.0,64.0,0.6031746031746031,1.0,-28.20243767206957
uncertainty_mcts_085,-27.476428609080585,-13.71148791883737,-13.737401960641304,0.025914041803932975,0.023047321993049232,0.3932242284217776,0.002159605508421676,0.006171612330990682,0.006212355883960667,0.17891651418249255,1024.0,,,capture_replay,4,1024,18,1.15,default,62.0,63.0,0.5967741935483871,1.0,-28.821569131357183
uncertainty_mcts_240,-28.339591504696973,-25.214260338927218,-25.214293010421272,3.267149405417058e-05,1.2197626955269288e-05,0.3810881782230084,2.8906035743305876e-06,6.092137919164747e-07,6.091756926877913e-07,1.623246217783903,1024.0,,,capture_replay,4,1024,18,1.15,default,62.0,63.0,0.6129032258064516,1.0,-29.53424739453947
conservative_mcts,-28.126764823449808,-13.71148791883737,-13.737401960641304,0.025914041803932975,0.023047321993049232,0.3932242284217776,0.002159605508421676,0.006171612330990682,0.006212355883960667,0.17891651418249255,1024.0,,,capture_replay,4,1024,18,1.15,default,62.0,63.0,0.5967741935483871,1.0,-29.470351214827595
static_rollout_pool,-21.997185366520146,-21.997185366520146,-21.998563335217447,0.001377968697301668,0.0010081821994173895,0.3816443943444902,0.00015590232556179757,0.0005706481365890614,0.0005704089246003483,0.804163356062313,1008.0,56.0,1.0,capture_replay,5,1024,18,1.15,default,,,,,
uct_mcts,-27.95007623830163,-18.019014668064525,-23.79147420543094,5.772459537366416,3.6553508905652645,2.599146123758746,0.6846630770093695,0.5606835515885704,0.15139165615606673,1.3971211899951637,1024.0,,,capture_replay,5,1024,18,1.15,default,61.0,62.0,0.3770491803278688,1.0,-28.666792696969218
uncertainty_mcts_085,-27.814587953802317,-30.34548060246114,-30.3454830885171,2.4860559584283237e-06,1.2550733884328161e-06,0.38108159521015206,3.038463134426151e-07,6.091761971791865e-07,6.091756926877913e-07,1.623246217783903,1024.0,,,capture_replay,5,1024,18,1.15,default,62.0,63.0,0.45161290322580644,1.0,-28.71210746729598
