dataset,output_tag,reward_bias,planner,budget,mean_gap,median_gap,max_gap,q90_gap,q95_gap
bias_strength_sweep,reward_bias_0.00,0.0,static_rollout_pool,1024,0.022691079343012472,0.000201774498584939,0.20426238682698994,0.047849688587429655,0.12071078802041064
bias_strength_sweep,reward_bias_0.00,0.0,uct_mcts,1024,0.4661569094150851,7.609831957466895e-06,2.5662554177077013,2.355759462365241,2.566255141651227
bias_strength_sweep,reward_bias_0.00,0.0,uncertainty_mcts_240,1024,0.028390091074087593,0.0001655382058221022,0.15981771342874396,0.13577960267573616,0.15291473435027905
bias_strength_sweep,reward_bias_0.60,0.6,static_rollout_pool,1024,0.2279511999827403,0.0006311251377582039,2.298277518435853,0.31919913599511573,1.2249812490197147
bias_strength_sweep,reward_bias_0.60,0.6,uct_mcts,1024,0.8715935440555561,2.692341501031592e-05,5.429078768248051,3.894118290921284,4.7745669755867866
bias_strength_sweep,reward_bias_0.60,0.6,uncertainty_mcts_240,1024,0.031293257917163565,2.229557866328946e-06,0.2950161260177637,0.07208349513150661,0.17678316533411603
bias_strength_sweep,reward_bias_1.15,1.15,static_rollout_pool,1024,0.3240799976118831,0.0008679070949675349,3.3006853312056705,0.4384830892003121,1.7479424799874665
bias_strength_sweep,reward_bias_1.15,1.15,uct_mcts,1024,1.0717340601185363,1.830645901002015e-05,7.021468138178932,5.201889258313261,6.3345134077320475
bias_strength_sweep,reward_bias_1.15,1.15,uncertainty_mcts_240,1024,0.046246962722557385,8.533006777611263e-06,0.4304529693551391,0.11140471776762859,0.26175462820530054
bias_strength_sweep,reward_bias_1.80,1.8,static_rollout_pool,1024,0.4376867584463291,0.0011477403171280542,4.485349109933626,0.5794550338973907,2.3659875711311846
bias_strength_sweep,reward_bias_1.80,1.8,uct_mcts,1024,1.3744108167217817,7.437153472622526e-06,8.90338284809725,6.826649388480435,8.178086463903725
bias_strength_sweep,reward_bias_1.80,1.8,uncertainty_mcts_240,1024,0.10956251214560024,0.0002944836366971515,0.5905146932993048,0.3508902056050284,0.4694484997211931
capture_replay,default,1.15,conservative_mcts,1024,0.26058468019918707,0.00020284589711749845,4.2995153281178276,0.43125740787278505,0.6315482532109129
capture_replay,default,1.15,static_rollout_pool,1024,0.3005426482552517,0.010579943083842025,3.3006853312056705,0.5891673432873537,1.6793578603736956
capture_replay,default,1.15,uct_mcts,1024,0.6864565804555947,1.1912228650601264e-05,7.021468138178932,0.9718935728150879,5.834909967407042
capture_replay,default,1.15,uncertainty_mcts_085,1024,0.2358988915373165,9.358689450067459e-06,3.985826410424174,0.15602793409492513,0.6082216414085934
capture_replay,default,1.15,uncertainty_mcts_240,1024,0.030300759675134438,8.533006777611263e-06,0.4304529693551391,0.035695561314894736,0.13906492555087308
penalty_sweep,penalty_0.00,1.15,uncertainty_penalty_0_00,1024,0.09867004322751818,5.13544096492069e-06,1.0778517124408271,0.43125740787278505,0.47046507242706054
penalty_sweep,penalty_0.25,1.15,uncertainty_penalty_0_25,1024,0.12909839449815577,6.475286310703154e-06,1.6864247596343205,0.43125740787278505,0.5008937247867357
penalty_sweep,penalty_0.50,1.15,uncertainty_penalty_0_50,1024,0.32839215359037144,1.3565858301589628e-05,3.985826410424174,0.5632900950418727,1.8013948421738148
penalty_sweep,penalty_0.85,1.15,uncertainty_penalty_0_85,1024,0.2358988915373165,9.358689450067459e-06,3.985826410424174,0.15602793409492513,0.6082216414085934
penalty_sweep,penalty_1.25,1.15,uncertainty_penalty_1_25,1024,0.8744862640313809,0.0002900079113032916,7.021497273831539,4.164489852464395,5.834912652976618
penalty_sweep,penalty_1.75,1.15,uncertainty_penalty_1_75,1024,0.257567895667306,8.852364221212383e-06,4.2995153281178276,0.2838713858032679,0.6239060872932762
penalty_sweep,penalty_2.40,1.15,uncertainty_penalty_2_40,1024,0.030300759675134438,8.533006777611263e-06,0.4304529693551391,0.035695561314894736,0.13906492555087308
penalty_sweep,penalty_3.20,1.15,uncertainty_penalty_3_20,1024,0.1319661987069935,2.1750357030114742e-05,1.0906696680120742,0.47192587114276996,0.8574563712704735
