dataset,output_tag,planner,budget,horizon,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,mean_gap,median_gap,max_gap,n,q90_gap,episode_true_return,episode_max_pocket_score,search_concentration
action_library_sweep,cardinal4,static_rollout_pool,768,18,cardinal4,4,1.25,1.15,0.22,0.55,base,0.632233967276008,0.03604113817268484,1.848800778191432,3,1.4862488501876827,,,
action_library_sweep,cardinal4,uct_mcts,768,18,cardinal4,4,1.25,1.15,0.22,0.55,base,0.07863118513457934,0.0024064698048178457,0.2334729858046991,3,0.18725968260472287,,,0.8755725840783312
action_library_sweep,cardinal4,uncertainty_mcts_240,768,18,cardinal4,4,1.25,1.15,0.22,0.55,base,0.004879237625007231,0.0036441708261989447,0.009121639131315362,3,0.008026145470292078,,,0.8929711731435869
action_library_sweep,default9,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.11450837497325139,0.16056873514311576,0.17885832302961902,3,0.17520040545231835,,,
action_library_sweep,default9,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.05109031620064641,5.66484906983078e-07,0.15326988599037605,3,0.12261602208928224,,,0.5451742213999383
action_library_sweep,default9,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,base,1.9241539817744382,1.7343664104885193e-06,5.772459537366416,3,4.617967976766415,,,0.5308356460067838
action_library_sweep,dense17,static_rollout_pool,768,18,dense17,17,1.25,1.15,0.22,0.55,base,0.02352871881260299,0.008630805621312021,0.061049499402461294,3,0.050565760646231445,,,
action_library_sweep,dense17,uct_mcts,768,18,dense17,17,1.25,1.15,0.22,0.55,base,0.000731765544318345,3.732260651645447e-07,0.002194923404971405,3,0.001756013369190157,,,0.3111111111111111
action_library_sweep,dense17,uncertainty_mcts_240,768,18,dense17,17,1.25,1.15,0.22,0.55,base,0.0007426216023998696,4.961266562020228e-07,0.002227368358909132,3,0.0017819939124585462,,,0.2962962962962963
closed_loop_replay,budget_512,conservative_mcts,512,18,default9,9,,1.15,0.22,0.55,base,0.0478851820423681,0.0478851820423681,0.09576869760607269,2,0.08619199449333177,-5.271337281939277,3.616065674833564e-07,
