dataset,output_tag,budget,horizon,action_library,reward_bias,dynamics_bias,uncertainty_pocket,start_label,planner,baseline,n,mean_delta,median_delta,positive_fraction,max_delta,min_delta
action_library_sweep,cardinal4,768,18,cardinal4,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.5536027821414287,-0.03602703837846377,0.0,-0.009453515659089362,-1.6153277923867329
action_library_sweep,cardinal4,768,18,cardinal4,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-0.6273547296510008,-0.026919499041369477,0.0,-0.008215814637708263,-1.8469288752739246
action_library_sweep,default9,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.06341805877260498,-0.007298849152739706,0.0,-0.004097500262112419,-0.1788578269029628
action_library_sweep,default9,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,1.8096456068011868,-0.004097393156531126,0.3333333333333333,5.6118908022233,-0.17885658866320853
action_library_sweep,dense17,768,18,dense17,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.022796953268284643,-0.006435882216340616,0.0,-0.0009054781879704876,-0.06104949940054283
action_library_sweep,dense17,768,18,dense17,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-0.02278609721020312,-0.006403437262402889,0.0,-0.0009053552873794501,-0.06104949908082702
closed_loop_replay,budget_512,512,18,default9,1.15,0.22,0.55,base,conservative_mcts,static_rollout_pool,2,-1.5273202342183305,-1.5273202342183305,0.0,-1.3410264019509488,-1.713614066485712
closed_loop_replay,budget_512,512,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,2,-0.472251287702523,-0.472251287702523,0.5,0.21055213114798366,-1.1550547065530297
closed_loop_replay,budget_512,512,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,2,-1.5273202342183305,-1.5273202342183305,0.0,-1.3410264019509488,-1.713614066485712
dynamics_drift_stress,dynamics_bias_0.00,768,18,default9,1.15,0.0,0.55,base,uct_mcts,static_rollout_pool,3,-0.056386079974786917,-0.06494129063228726,0.0,-0.002389298957268693,-0.10182765033480479
dynamics_drift_stress,dynamics_bias_0.00,768,18,default9,1.15,0.0,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,0.25730648798279415,-0.0023893077423622344,0.3333333333333333,0.8760727215894271,-0.10176394989868243
dynamics_drift_stress,dynamics_bias_0.22,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.06341805877260498,-0.007298849152739706,0.0,-0.004097500262112419,-0.1788578269029628
dynamics_drift_stress,dynamics_bias_0.22,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,1.8096456068011868,-0.004097393156531126,0.3333333333333333,5.6118908022233,-0.17885658866320853
